id,answer_id,country_id,text,created,,,,
1,1,1,Male,2016-07-13 00:52:22,,,,
2,2,1,Female,2016-07-13 00:52:22,,,,
3,3,1,"Single, never married",2016-07-13 00:52:22,,,,
4,4,1,Married,2016-07-13 00:52:22,,,,
5,5,1,"Separated, divorced or widowed",2016-07-13 00:52:22,,,,
6,6,1,Domestic partnership/living with someone,2016-07-13 00:52:22,,,,
7,7,1,Prefer not to answer,2016-07-13 00:52:22,,,,
8,8,1,3rd Grade or less,2016-07-13 00:52:23,,,,
9,9,1,Middle School - Grades 4 - 8,2016-07-13 00:52:23,,,,
10,10,1,Completed some high school,2016-07-13 00:52:23,,,,
11,11,1,High school graduate,2016-07-13 00:52:23,,,,
12,12,1,Other post high school vocational training,2016-07-13 00:52:23,,,,
13,13,1,Completed some college,2016-07-13 00:52:23,,,,
14,14,1,Associates Degree,2016-07-13 00:52:23,,,,
15,15,1,College degree,2016-07-13 00:52:23,,,,
16,16,1,Completed some postgraduate,2016-07-13 00:52:23,,,,
17,17,1,Masters degree,2016-07-13 00:52:23,,,,
18,18,1,Doctorate degree,2016-07-13 00:52:23,,,,
19,19,1,None of the above,2016-07-13 00:52:23,,,,
20,20,1,Yes,2016-07-13 00:52:23,,,,
21,21,1,No,2016-07-13 00:52:23,,,,
22,22,1,Share decisions equally,2016-07-13 00:52:23,,,,
23,23,1,Cat(s),2016-07-13 00:52:23,,,,
24,24,1,Dog(s),2016-07-13 00:52:23,,,,
25,25,1,Bird(s),2016-07-13 00:52:23,,,,
26,26,1,Fish,2016-07-13 00:52:23,,,,
27,27,1,"Amphibians (frogs, toads, etc.)",2016-07-13 00:52:23,,,,
28,28,1,"Small animals or rodents (hamsters, mice, rabbits, ferrets, etc.)",2016-07-13 00:52:23,,,,
29,29,1,"Reptiles (turtles, snakes, lizards, etc.)",2016-07-13 00:52:23,,,,
30,30,1,Horse(s),2016-07-13 00:52:23,,,,
31,31,1,I do not have any pets,2016-07-13 00:52:23,,,,
