id,partner_id,partner_question_id,partner_question_name,question_type,logic_group,order,skipped_answer_id,ignore,behavior,created
1,0,42,AGE,Numeric - Open-end,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
2,0,43,GENDER,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
3,0,632,STANDARD_RELATIONSHIP,Single Punch,NULL,NULL,NULL,0,prefer,2016-07-13 00:10:41
4,0,633,STANDARD_EDUCATION,Single Punch,NULL,NULL,NULL,0,prefer,2016-07-13 00:10:41
5,0,638,STANDARD_PRIMARY_DECISION_MAKER,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
6,0,639,STANDARD_PETS,Multi Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
7,0,640,STANDARD_SEXUAL_ORIENTATION,Single Punch,NULL,NULL,NULL,1,prefer,2016-07-13 00:10:41
8,0,641,STANDARD_TOTAL_HOUSEHOLD,Single Punch,household,1,NULL,0,prefer,2016-07-13 00:10:41
9,0,642,STANDARD_HOUSEHOLD_TYPE,Single Punch,household,2,NULL,0,NULL,2016-07-13 00:10:41
10,0,643,STANDARD_INDUSTRY,Multi Punch,household,3,NULL,0,NULL,2016-07-13 00:10:41
11,0,645,STANDARD_COMPANY_REVENUE,Single Punch,org,1,NULL,0,NULL,2016-07-13 00:10:41
12,0,646,STANDARD_COMPANY_DEPARTMENT,Single Punch,org,2,NULL,0,NULL,2016-07-13 00:10:41
13,0,647,STANDARD_CAR_USE,Single Punch,car,1,NULL,0,NULL,2016-07-13 00:10:41
14,0,648,STANDARD_AUTO_DECISION_MAKER,Single Punch,car,2,NULL,0,NULL,2016-07-13 00:10:41
15,0,649,STANDARD_AUTO_BRANDS,Multi Punch,car,3,NULL,0,NULL,2016-07-13 00:10:41
16,0,650,STANDARD_AUTO_TYPE,Multi Punch,car,4,197,0,NULL,2016-07-13 00:10:41
17,0,715,STANDARD_AUTO_MANUFACTURE_DATE,Single Punch,car,5,220,0,NULL,2016-07-13 00:10:41
18,0,716,STANDARD_AUTO_PURCHASE_DATE,Single Punch,car,6,222,0,NULL,2016-07-13 00:10:41
19,0,717,STANDARD_AUTO_PURCHASE_TYPE,Single Punch,car,7,247,0,NULL,2016-07-13 00:10:41
20,0,719,STANDARD_AUTO_MOTORCYCLE,Single Punch,car,9,NULL,0,NULL,2016-07-13 00:10:41
21,0,720,STANDARD_FAST_FOOD_FREQUENCY,Single Punch,fastfood,1,NULL,0,NULL,2016-07-13 00:10:41
22,0,721,STANDARD_FAST_FOOD_VISIT,Multi Punch,fastfood,2,NULL,0,NULL,2016-07-13 00:10:41
23,0,722,STANDARD_BEVERAGE_P4W,Multi Punch,beverage,1,NULL,0,NULL,2016-07-13 00:10:41
24,0,723,STANDARD_BEVERAGE_REGULARLY,Multi Punch,beverage,2,NULL,0,NULL,2016-07-13 00:10:41
25,0,724,STANDARD_ALCOHOL_FREQUENCY,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
26,0,725,STANDARD_HOBBIES,Multi Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
27,0,726,STANDARD_MOVIE_FREQUENCY,Single Punch,movies,1,NULL,0,prefer,2016-07-13 00:10:41
28,0,727,STANDARD_MOVIE_GENRE,Multi Punch,movies,2,346,0,NULL,2016-07-13 00:10:41
29,0,728,STANDARD_MOVIE_HOME_WATCHING,Single Punch,movies,3,NULL,0,NULL,2016-07-13 00:10:41
30,0,729,STANDARD_DVD_PURCHASE,Single Punch,movies,4,NULL,0,NULL,2016-07-13 00:10:41
31,0,730,STANDARD_EXERCISE_HOURS,Single Punch,exercise,1,NULL,0,NULL,2016-07-13 00:10:41
32,0,731,STANDARD_SPORTS,Multi Punch,exercise,2,397,0,NULL,2016-07-13 00:10:41
33,0,732,STANDARD_GAMBLING,Multi Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
34,0,733,STANDARD_ELECTRONICS,Multi Punch,electronics,1,NULL,0,NULL,2016-07-13 00:10:41
35,0,734,STANDARD_EARLY_ADOPTER,Single Punch,electronics,2,NULL,0,NULL,2016-07-13 00:10:41
36,0,735,STANDARD_CELL_CARRIER,Single Punch,phone,1,NULL,0,NULL,2016-07-13 00:10:41
37,0,736,STANDARD_CELL_PLAN,Single Punch,phone,2,439,0,NULL,2016-07-13 00:10:41
38,0,737,STANDARD_SMART_PHONE,Single Punch,phone,3,444,0,NULL,2016-07-13 00:10:41
39,0,738,STANDARD_INTERNET_TYPE,Multi Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
40,0,739,STANDARD_MOVIE_DOWNLOAD,Single Punch,movies,5,NULL,0,NULL,2016-07-13 00:10:41
41,0,740,STANDARD_GAMING_PLATFORMS,Multi Punch,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
42,0,741,STANDARD_GAMING_TYPE,Multi Punch,gaming,2,494,0,NULL,2016-07-13 00:10:41
43,0,742,STANDARD_GAMING_HOURS,Single Punch,gaming,3,502,0,NULL,2016-07-13 00:10:41
44,0,743,STANDARD_GAMING_PARTNERS,Multi Punch,gaming,4,506,0,NULL,2016-07-13 00:10:41
45,0,744,STANDARD_GAMING_DEVICE,Multi Punch,gaming,5,512,0,NULL,2016-07-13 00:10:41
46,0,745,STANDARD_GAMING_PURCHASE,Single Punch,gaming,6,519,0,NULL,2016-07-13 00:10:41
47,0,746,STANDARD_GAMING_ONLINE,Single Punch,gaming,7,521,0,NULL,2016-07-13 00:10:41
48,0,747,STANDARD_TELEVISION_FREQUENCY,Single Punch,media,1,NULL,0,NULL,2016-07-13 00:10:41
49,0,748,STANDARD_RADIO_FREQUENCY,Single Punch,media,2,NULL,0,NULL,2016-07-13 00:10:41
50,0,749,STANDARD_PUBLICATIONS,Multi Punch,media,3,NULL,0,NULL,2016-07-13 00:10:41
51,0,750,STANDARD_FLIGHT_PURPOSE,Single Punch,travel,1,NULL,0,NULL,2016-07-13 00:10:41
52,0,751,STANDARD_FLIGHT_DESTINATION,Single Punch,travel,2,556,0,NULL,2016-07-13 00:10:41
53,0,752,STANDARD_DOMESTIC_AIRLINES,Multi Punch,travel,3,1688,0,NULL,2016-07-13 00:10:41
54,0,753,STANDARD_INTERNATIONAL_AIRLINES,Multi Punch,travel,4,607,0,NULL,2016-07-13 00:10:41
55,0,754,STANDARD_COUNTRIES_VISITED,Multi Punch,travel,5,NULL,0,NULL,2016-07-13 00:10:41
56,0,755,STANDARD_HOTEL_TYPE,Multi Punch,travel,6,NULL,0,NULL,2016-07-13 00:10:41
57,0,756,STANDARD_SMOKING,Single Punch,smoke,1,NULL,0,NULL,2016-07-13 00:10:41
58,0,757,STANDARD_CIGARETTE_FREQUENCY,Single Punch,smoke,2,636,0,NULL,2016-07-13 00:10:41
59,0,758,STANDARD_SMOKING_QUIT_TYPE,Multi Punch,smoke,3,NULL,0,NULL,2016-07-13 00:10:41
60,0,759,STANDARD_DIAGNOSED_AILMENTS_I,Multi Punch,health1,1,NULL,0,prefer,2016-07-13 00:10:41
61,0,760,STANDARD_DIAGNOSED_AILMENTS_II,Multi Punch,health1,4,NULL,0,prefer,2016-07-13 00:10:41
62,0,761,STANDARD_CANCER_TYPE,Multi Punch,health1,2,764,0,prefer,2016-07-13 00:10:41
63,0,762,STANDARD_DIABETES_TYPE,Multi Punch,health1,3,768,0,prefer,2016-07-13 00:10:41
64,0,763,STANDARD_HEPATITIS_TYPE,Multi Punch,health1,5,774,0,prefer,2016-07-13 00:10:41
65,0,764,STANDARD_HH_DIAGNOSED_AILMENTS_I,Multi Punch,health2,1,NULL,0,prefer,2016-07-13 00:10:41
66,0,765,STANDARD_HH_DIAGNOSD_AILMENTS_II,Multi Punch,health2,4,NULL,0,prefer,2016-07-13 00:10:41
67,0,766,STANDARD_HH_CANCER,Multi Punch,health2,2,884,0,prefer,2016-07-13 00:10:41
68,0,767,STANDARD_HH_DIABETES,Multi Punch,health2,3,889,0,prefer,2016-07-13 00:10:41
69,0,768,STANDARD_HH_HEPATITIS,Multi Punch,health2,5,895,0,prefer,2016-07-13 00:10:41
70,0,769,STANDARD_EYEWEAR,Single Punch,nerd,1,NULL,0,prefer,2016-07-13 00:10:41
71,0,770,STANDARD_HEARING_AID,Single Punch,nerd,2,NULL,0,prefer,2016-07-13 00:10:41
72,0,1008,ZIP_Canada,Text - Open-end,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
73,0,1015,Province_Territory_of_Canada,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
74,0,1035,MS_browser_type_Non_Wurfl,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
75,0,1047,MS_os_type_Non_Wurfl,Dummy,NULL,NULL,NULL,1,NULL,2016-07-13 00:10:41
76,0,1249,Age_and_Gender_of_Child,Multi Punch,children,2,916,0,NULL,2016-07-13 00:10:41
77,0,2189,STANDARD_EMPLOYMENT,Single Punch,NULL,NULL,NULL,0,prefer,2016-07-13 00:10:41
78,0,2204,Panel_Recruit,Single Punch,NULL,NULL,NULL,0,qualifier,2016-07-13 00:10:41
79,0,2216,STANDARD HOME OWNER,Single Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
80,0,3546,STANDARD_B2B_DECISION_MAKER,Multi Punch,NULL,NULL,NULL,0,NULL,2016-07-13 00:10:41
81,0,3708,KIDS_STANDARD,Single Punch,children,1,NULL,0,NULL,2016-07-13 00:10:41
82,0,3919,STANDARD_SUFFERER_AILMENTS_I,Multi Punch,health3,1,NULL,0,prefer,2016-07-13 00:10:41
83,0,3920,STANDARD_SUFFERER_AILMENTS_II,Multi Punch,health3,2,NULL,0,prefer,2016-07-13 00:10:41
