ZipCode,Region,Division,StateFullName,State,StateANSI,CSA Name,CSA Code,MSA_Name,MSAANSI,County,CountyANSI
501,Northeast,Middle Atlantic,New York,NY,36,"New York-Newark, NY-NJ-CT-PA",408,New York-Northern New Jersey-Long Island NY-NJ-CT-PA,5602,SUFFOLK,103
544,Northeast,Middle Atlantic,New York,NY,36,"New York-Newark, NY-NJ-CT-PA",408,New York-Northern New Jersey-Long Island NY-NJ-CT-PA,5602,SUFFOLK,103
1001,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPDEN,13
1002,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPSHIRE,15
1003,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPSHIRE,15
1004,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPSHIRE,15
1005,Northeast,New England,Massachusetts,MA,25,"Boston-Worcester-Providence, MA-RI-NH-CT",148,Boston-Worcester-Lawrence MA-NH-ME-CT CMSA,1122,WORCESTER,27
1007,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPSHIRE,15
1008,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,,,HAMPDEN,13
1009,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,,,HAMPDEN,13
1010,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,,,HAMPDEN,13
1011,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,,,HAMPDEN,13
1012,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,,,HAMPSHIRE,15
1013,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPDEN,13
1014,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPDEN,13
1020,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPDEN,13
1021,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPDEN,13
1022,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPDEN,13
1026,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,,,HAMPSHIRE,15
1027,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPSHIRE,15
1028,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPDEN,13
1029,Northeast,New England,Massachusetts,MA,25,,,,,BERKSHIRE,3
1030,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,,,HAMPDEN,13
1031,Northeast,New England,Massachusetts,MA,25,"Boston-Worcester-Providence, MA-RI-NH-CT",148,,,WORCESTER,27
1032,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,,,HAMPSHIRE,15
1033,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPSHIRE,15
1034,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,,,HAMPDEN,13
1035,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPSHIRE,15
1036,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPDEN,13
1037,Northeast,New England,Massachusetts,MA,25,"Boston-Worcester-Providence, MA-RI-NH-CT",148,,,WORCESTER,27
1038,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPSHIRE,15
1039,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,,,HAMPSHIRE,15
1040,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPDEN,13
1041,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPDEN,13
1050,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPSHIRE,15
1053,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,,,HAMPSHIRE,15
1054,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,,,FRANKLIN,11
1056,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPDEN,13
1057,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPDEN,13
1059,Northeast,New England,Massachusetts,MA,25,"Springfield-Greenfield Town, MA",521,Springfield MA MSA,8000,HAMPSHIRE,15
